"mark-twain_huck-finn" "mark-twain_innocents-abroad" "mark-twain_life-on-mississippi" "mark-twain_roughing-it" "mark-twain_sketches-new-and-old" "mark-twain_tom-sawyer" "mark-twain-and-cd-warner_gilded-age" "warner_backlog-studies" "warner_baddeck-sketches" "warner_being-a-boy" "warner_golden-house" "warner_in-the-levant" "warner_in-the-wilderness" "warner_john-smith" "warner_my-summer-in-a-garden" "warner_my-winter-on-the-nile"
"he" 1.5087464211027 0.716605713408864 0.981051302808688 1.12852590020454 1.2784264269151 1.69216438974822 1.50234330515527 0.833301406076396 0.824995122495053 2.47023638350492 1.83046636327912 0.514518018717446 0.998082778842901 1.43890945809492 1.32562138502423 0.623072747641101
"is" 0.283619196352442 0.938594920846014 0.782096842798535 0.511344717690149 0.793295634839917 0.255447668510782 0.685158650206173 1.60338684341596 1.2514284121631 1.20204750675792 0.711143787949852 1.27323800516635 1.16161046577196 0.525917199596096 1.70079724871033 1.83745827895643
"his" 0.500821239128679 0.528886729239661 0.663410216654546 0.810421918850783 0.890932020666368 1.15022016484137 0.986127883767059 0.570859354047738 0.719083586499066 1.27106458848565 1.19664837045394 0.542749460073684 0.671027404984775 1.71519129361607 0.772236986087228 0.645593449363068
"with" 0.47838301156915 0.812766936906984 0.719666305347073 0.779503401036959 0.846182010495911 0.91311956644462 0.842213281440648 0.739435270679284 0.752529334708325 0.802323575084834 0.817625210744483 0.814477083127479 0.713319048156084 1.1051273420846 0.712834141003595 0.811322715881137
"for" 0.759309620614448 0.613283547735352 0.75191064886596 0.753936165152452 0.747528578983768 0.743761996161228 0.850347585050401 0.762422895674495 0.833356559547368 0.733306493357106 0.87720410207005 0.656381011532544 0.544152475470847 0.824638168966678 0.744098796310771 0.652522896046751
"but" 0.929840150066866 0.616864018823048 0.675073064310314 0.638586310231651 0.695659249013466 0.819972902788755 0.697047247789659 0.591931343626681 0.643830653028234 0.598148041640306 0.731425963720258 0.542043674039778 0.60336077591068 0.68299113654213 0.747225261841488 0.52952521741139
"as" 0.48646077349058 0.588731745991151 0.602351778927292 0.654045569138562 0.642772873357471 0.556057355763803 0.6670128959998 0.94057698938738 0.638256361660024 0.90297348593777 0.728890691748957 0.652146295329108 0.724596819668433 0.812016156176372 0.950445521338127 0.669846512755956
"we" 0.762899737023973 1.00304340042454 0.358118028018276 0.702207106502402 0.253244375737358 0.158067065597832 0.219626197463349 0.62449714570323 1.4771872125756 0.106401334330247 0.109016694765931 0.951399573705236 0.608999661666855 0.330977224279143 0.34078474284821 1.05500825759063
"on" 0.794313255607313 0.531955704457686 0.646258970101947 0.649288874090282 0.566494446930556 0.525008467878514 0.463655305755958 0.557449906133865 0.76089077176064 0.618278023810893 0.510857302217095 0.597800770718349 0.6653885192286 0.486648715359587 0.509613881506956 0.765703858546895
"not" 0.147194772790508 0.640392828827907 0.483665152783304 0.528587737240166 0.544119441845328 0.40363554250875 0.672644336960398 0.781579249837171 0.746955043340115 0.658537988152068 0.872133558127448 0.559688324887427 0.63437464756964 0.524514753730506 0.99734250429889 0.584383336990541
